NAME,POSITION,Market size,No of emp,DATE,TITLE,LIKE,DISLIKE,BENEFITS
Macy H.,Client Success Specialist,Small-Business,50 or fewer emp.,01-Nov-22,"""My experience with Planhat has been incredible!""","The customization that we are able to have with Planhat is unmatched. We love the Customer Portal, the ability to create dashboards ourselves, and the opportunity for automation in our daily routines. What we like best is the personnel. Everyone we have come in contact with, from sales to our CSM, Peter Robatille, has been personable, helpful, and willing to get creative with us to achieve our goals. Review collected by and hosted on G2.com.",It would be great to be able to set a default filter on the Data page and to be able to send and manage calendar invites in Planhat. More functionality around a true engagement score and adoption score would add more value for us. Not being able to comprehensively track product feedback at the portfolio level in PH is a downside for my team. Review collected by and hosted on G2.com.,Planhat helps us solve client information falling through the cracks. It has significantly reduced our tech stack and given my team visibility and the ability to get a holistic view of our accounts on both a company and user level. This is something we did not have before implementing Planhat. Review collected by and hosted on G2.com.
Patrick S.,Content Writer,Small-Business,50 or fewer emp.,01-Nov-22,"""Relentless support from a highly professional team of experts""","I'm not an technically-minded person, nor is my background in customer support. That said, much of what I do on a day-to-day basis includes both skillsets. Despite that, I've been successful in my position thanks to the Planhat team, whose ongoing support, guidance, and user interface have given my team everything we've needed for success (and then some). We are by no means the easiest client and have asked for several customizations, all of which the Planhat team has accomodated. I have not had a single negative experience in my year-long relationship with this team and would suggest them to absolutely anyone in the market. Consumate professionals, endlessly knowledgeable, and able to easily translate technical ideas to non-technical audiences. Review collected by and hosted on G2.com.","This is one of those questions where I feel that I'm really scraping the bottom of the barrel for an answer. In my experience, shortcomings around the Planhat team and interface have been almost non-existent. As I noted before, they have been relentlessly accommodating. If I had to reach to a distant limb for some minor constructive criticism, perhaps I'd say a more robust training experience for users -- but they're already working on that. If you'd asked me several months ago, perhaps I'd say a more customizable visual playbook experience -- but they heard that, listened, and designed the playbooks to our needs. I expect that if you asked me a year from now, my response would assume the same structure: we identified an issue -- something that needed a little tweaking for the distinct needs of our team -- and they immediately partnered with us to create it. Review collected by and hosted on G2.com.","Planhat allows us to create and execute a seamless white-glove client experience where nothing falls through the cracks. The data we're able to collect and action is unlike anything our company has ever seen. With every interaction with the Planhat team, I learn more about the robustness of the platform's capabilities. I expect that will continue as I continue to learn more and as platform interations continue to improve upon an already exceptional product. Review collected by and hosted on G2.com."
Gina M.,Customer Success Manager,Small-Business,50 or fewer emp.,01-Nov-22,"""It is a robust system yet very easy to use and navigate""",I like that there is a ton of info on Planhat. I like having the data for my customers laid out in one screen. I also like the notes and playbook use. And the fact that I can jump on a call with my CSM is huge. That takes the stress of trying to figure things out away. Their integrations with our other platforms is super helpful as well so I can have everything in one place. Review collected by and hosted on G2.com.,"I can't think of anything because its worked really well for what I have needed. I don't need anything other than my customer data, playbooks, automated emails etc. Review collected by and hosted on G2.com.","Having visibility on where my clients are, and the date I connected with them last, is really key. I have in one data page my last touches and the date my clients are rolling off and potentially not renewing, which is perfect. This is helpful to get ahead of the churn and make sure I have done all I can to keep the account. Review collected by and hosted on G2.com."
Carrie Z.,Director of Customer Success,Small-Business,50 or fewer emp.,01-Nov-22,"""An absolute must-have for CS teams""","Planhat knows customer success! The platform is easy to use but full of extremely powerful information for customer success teams. Setting it up was simple and our CSM was helpful guiding us through each step of the process. As experts in CS, the team understood our needs and was friendly, supportive and attentive during onboarding. The platform has become a part of our daily lives, where we can track everything from meeting notes, customer reminders, renewals, and playbooks in a modern and beautiful site. I have no idea how I worked in CS for 10 years without Planhat. No matter the size of a team, this solution is amazing. Review collected by and hosted on G2.com.",Nothing! We haven't run into any issues with the platform or the service they provide. Review collected by and hosted on G2.com.,"Planhat has made our team more efficient - with built in playbooks, email templates and reminders we can keep track of tasks and simplify (and automate) routine actions. Review collected by and hosted on G2.com."
Ben S.,Head of Customer Success,Small-Business,50 or fewer emp.,27-Oct-22,"""Great company, great service, and an amazing product.""","Everything! From the very start, the team have been amazing, clearly understanding the ever-changing priorities, issues, and goals of our company and being very flexible to come up with solutions that work for us. Aside from the service provided the product is great, super customisable, integrates easily with our current tech stack, and provides a level of detail for reporting that we just didn't have before. On top of this, the customer portal, playbooks, and automation are revolutionary, something that I have used for years now, they help provide a better service to our clients whilst streamlining our process, and reducing the amount of time spent by our team onboarding clients. Review collected by and hosted on G2.com.",If it was a little bit cheaper then that would be ideal but the value it adds is worth it. Review collected by and hosted on G2.com.,"There are a lot of ""Problems"" Planhat is solving but the main thing is giving oversite and transparency to the CS team and the wider company, historically we have had very little insight into usage, client health and even team processes, Planhat has ensured that this is no longer the case with dashboards, playbooks, and email tracking. Review collected by and hosted on G2.com."
Timothy S.,Teamlead Customer Success,Mid-Market,51-1000 emp.,25-Oct-22,"""Growing CSM platform for optimising you CSM processes and keeping your customers successful.""",Planhat has a lot of flexibility to adapt to your processes and company structure. The CSM team is super dedicated to helping you reach your goals. Where a year in now and our view of our customers has improved significantly. We can be a lot more pro-active and see that our CSMs know what their clients are doing. The pricing that is not user based is also a plus. Review collected by and hosted on G2.com.,"The initial setup took a while. This was partly due to the time we could invest but also due to a complicated setup. You feel it's a growing system because of some useability features that are not yet optimal. Working with a hierarchical structure is possible, but the setup and platform view did take time to get used to. Our Hubspot integration works well now, but still some added flexibility would be nice. Also, smaller things like tasks from playbooks and google meetings that are basically part of that task can't be merged eg. Review collected by and hosted on G2.com.","Helps us onboard our customers in a more uniform and structured way. Onboarding is now more easily scaleable. We can pro-actively follow up with customers and act before it's too late. We have a better overview of the ""health"" of our customers. Review collected by and hosted on G2.com."
Bentley B.,Customer Success Manager,Small-Business,50 or fewer emp.,02-Nov-22,"""The Cheesecake Factory of CRMs. So many options it can be overwhelming, but worth it in the end!""",I really love how the platform can pull in tons of information. I love being able to score and organize all my accounts as well as being an account manager. Having a page I can go to to see an overview of simple tasks or playbooks is also a plus. Review collected by and hosted on G2.com.,"I wouldn't consider it a dislike, but it is a difficult learning curve. Our admin is allowed to chat in for support, but I cannot. Since there is so much to do, it often becomes overwhelming to setup up my own views on reports. Our CSM is solid, but I don't know what I don't know. Review collected by and hosted on G2.com.",Planhat is tracking and visualizing data in terms of usage and moving from one playbook to another. Beforehand we were just manually adjusting or keeping a record of all of this data. This is the company's first CRM. Review collected by and hosted on G2.com.
Christina O.,Customer Success Manager,Mid-Market,51-1000 emp.,19-Oct-22,"""Nice platform for customer success that helps with a lot of insights and management of customers""","Planhat is fairly intuitive when it comes to the main functions for managing customers. E.g. it is great to configure own health scores for quick overview of customers well-being. In addition, several measures are available to easily understand how customers are using our product and in turn define measures of our own. Planhat is also great for capturing all events/meetings/notes on a customer that should be available in case the actual customer success manager isn't. Lastly, the option to share a customer portal with customers and use it as a joint platform for communicating to-dos and next steps, is of great value. Review collected by and hosted on G2.com.","There are still a couple of functionalities that don't work well, e.g. synching recurring calendar meetings, or mail that are in other folders than ""Inbox"". In addition, there sometimes are some hickups with the calculations in the background as well as information getting overwritten by automations. However, for the latter, it is hard to pinpoint the problem to Planhat or our own scripts, so this shouldn't be held solely to Planhats responsibility. Review collected by and hosted on G2.com.","It's giving me a quick overview of the most important customer-associated metrics and is thereby saving me a lot of time in analysis. It also helps a lot with knowledge transfer and simply tracking to-dos, thereby improving the work as a team. Review collected by and hosted on G2.com."
Nico K.,CS Operations Lead,Mid-Market,51-1000 emp.,19-Oct-22,"""Planhat helps us bringing our CS organization to the next level!""","To give you a better understanding of how we use Planhat I divided my feedback as following:
","As every software, also Planhat has some minor bugs here and there. While most of our reports have been solved very fast we still experience a bug related to the CRM-integration that we raised several weeks ago and which prevents us from using Planhat to 100%.
",#NAME?
Tess B.,Customer Success Manager,Mid-Market,51-1000 emp.,26-Oct-22,"""I would recommend Planhat!""","The product helps manage the project pipeline, correlating tasks and follow-ups. The playbooks are versatile and address most of our needs. The articles and the support team are great if I am in a pinch; I can definitely get answers to my questions in a quick time frame. Review collected by and hosted on G2.com.","There is not much to contribute here. One specific option would maximize time and minimize a few redundancies. For example: Directly linking a calendar task to a playbook task rather than clicking both as done and remembering where to record time and details for metrics would reduce time in entry, potential errors and redundancy. Review collected by and hosted on G2.com.",I can easily check on the health of the projects and keep track of follow-ups and associated necessary tasks. The integrations and ability to see the activity of those involved with a few clicks allow me to pivot priorities and address potential issues sooner. Review collected by and hosted on G2.com.
Richard Z.,Customer Success Team Lead,Mid-Market,51-1000 emp.,18-Oct-22,"""An amazing tool for CSM team and management""","- playbooks are amazing ways to track performance and to keep track of your (your teams') activities and progress
","- customer-facing portal is a super important feature because it's the first thing that customer sees from you (when sharing onboarding instructions for example), but at the moment the level of customization is very limited. It's definitely not the prettiest-looking portal and the fact that you cannot fully customize it make it less practical
","Sharing customer portals, providing instructions for onboarding, different automation that runs if the customer has any issue within our app, escalating issue to management, and more. Review collected by and hosted on G2.com."
Jordan F.,Senior Customer Success Manager,Small-Business,50 or fewer emp.,14-Oct-22,"""Planhat allows me and my team to succeed""","Planhat is easily customizable to:
","The email system is pretty terrible in terms of formatting - lists, tables etc. Needs a bit more robustsness like outlook.
","Contact management is big in our organization. Being able to customize and easily see your customers and divide them for stakeholder engagement is huge for our team. We have never had an easy way to see our contacts beyond spreadsheets. We can also now learn from each other and use the data from each customer to understand who our true champions are, and flag customers that may churn. running playbooks are great too. Review collected by and hosted on G2.com."
Jennifer S.,"SVP, Basis Customer Experience",Mid-Market,51-1000 emp.,07-Oct-22,"""A game changer for our Customer Experience team.""","We recently launched with Planhat, after a lengthy vendor selection process.  Given the complexities of our internal systems and data needs, we had many technically heavy discussions with stakeholders from both companies to ensure we could get all necessary data into Planhat.  From the early stages with our Corp Dev team, Planhat was a favorite.  We had the pleasure of working with Chris (CCO) from day 1.  The integration took about six months.  Our tech leads, Niklas (CTO) and Nicci were just as supportive and informative.  Nicci has been instrumental in every aspect of our integration, launch, and beyond.   Although the integration took longer than expected (primarily because of all the various integration pieces we needed), we never lost sight of the goal, nor did we have to make concessions. We officially launched in July, and Planhat is now our official CS system of record.  
","We don't dislike anything.  There are some areas/actions that aren't as intuitive as others.  Planhat offers so much flexibility, requiring time to maximize all its capabilities. Review collected by and hosted on G2.com.",Helping us to level up our customer support efforts.  We have seen many improvements in our Onboarding and Customer Success practices from which we believe all involved will benefit significantly. Review collected by and hosted on G2.com.
Jon M.,Customer Success Team Lead,Small-Business,50 or fewer emp.,01-Nov-22,"""Like Planhat, but recovering from poor past choices has been difficult (I know this is user error)""","I like how it aggregates everything from all of my other applications into one place. It tracks conversations so that I can see what was going on the last time I spoke with a customer, and allows customization so that other apps can be linked (chargebee, metabase, etc). Review collected by and hosted on G2.com.","It is VERY difficult to fix past errors from employees that did not know what they were doing. They ruined the connection between salesforce and planhat, and have made it difficult to keep contact lists totally updated. I know this is not planhat's fault, but I wish it was easier to fix. Review collected by and hosted on G2.com.",Keeping track of my customers and our communications has made it easier for me to do my job. It cuts down on time spent digging through emails and makes sure that every customer is touched frequently enough. Review collected by and hosted on G2.com.
Sara B.,Director of Customer Experience,Small-Business,50 or fewer emp.,06-Dec-22,"""The best - powerful tool backed up by insightful and intelligent teams""","When starting to use PlanHat, it can be very intimidating as the tool is powerful and can do so many things. However, what I found to be the most helpful for my time with PlanHat was the team they give you to get started. They are hands-on, practical, and creative in their solutions. I never found myself lacking help or someone to discuss my ideas with because the team is so responsive. Overall, the PlanHat team (specifically Danka and Kristen for us) makes PlanHat miles above any other tool you can find. Review collected by and hosted on G2.com.","For my time using PlanHat, I felt as though there was nothing to dislike. Like I mentioned in the positives, I could go to the team and ask questions about any issue or hiccup I ran into. They always met me with answers, helpful tricks and tips, or let me know they would find the answer and get back to me. Review collected by and hosted on G2.com.",PlanHat is solving our problem of having data that does not mean anything - they are making our data insightful and useful going forward! This will help us serve our customers better long term. Review collected by and hosted on G2.com.
Mandeep S.,Customer Success Manager for US West,Mid-Market,51-1000 emp.,01-Dec-22,"""Then entire visibility of the portfolio at a single place""",The way account health along with recent activities and previous and upcoming meetings actually gives the entire story rather than asking the owner of the account. It only leaves the strategic part to be handled by the CSM. Review collected by and hosted on G2.com.,Nothing much. I think the notification tab should remain open for all the attendees of the meeting so that everyone can log the call. Right now it is closed for all the users if one of the attendees logs that activity. Review collected by and hosted on G2.com.,To understand and have very clear visibility of the entire portfolio rather than going through each detail from different resources. PH help in planning the next steps in improving the health of the portfolio. Review collected by and hosted on G2.com.
Hannah D.,"Customer Success Manager, NEMEA",Mid-Market,51-1000 emp.,14-Sep-22,"""Better than pulling a rabbit-out-of-a-Hat kinda magic""","Using Planhat has wholly changed my team's workflow and relationship usage. Not only is it entirely user-friendly, but it also focuses on making information accessible and digestible no matter your computer literacy. 
","There are some improvements that could be enhanced with the Salesforce integration. Specifically, the transfer of Notes from Salesforce -> Planhat and Planhat -> Salesforce. 
","Before Planhat, data was disorganized and not used in meaningful or intentional ways. Since we've used it we have made this part of our regular workflow and has removed the need to use other CRM or messaging platforms.
"
Kine L.,COO,Small-Business,50 or fewer emp.,01-Nov-22,"""Structure your CSM processes with Planhat""","Planhat allows us to aggregate all customer-related data and activities in one place. It gives us a 360 overview of every customer, which allows us to analyse and plan next steps or actions to be taken. Review collected by and hosted on G2.com.","It is a bit intimidating initially with all of the data and possibilities that Planhat offers. You need to commit to spending some time with it to take full advantage of all the features, which is not a bad thing - just make sure you plan accordingly. Review collected by and hosted on G2.com.","Planhat gives us insight and transparency into everything our CSM team does, how the customers are using our product, and data on all touchpoints. The Customer Health Score and playbooks allow us to proactively take relevant customer retention actions. Review collected by and hosted on G2.com."
Joseph L.,Vice President of Customer Success,Small-Business,50 or fewer emp.,04-Nov-22,"""Powerful CS Tool for a Single Source of Customer Truth""","Planhat takes all our customer information and data that had been spread around multiple systems and combines it into one, actionable place. We had the data before, but it was hard to get, and you had to really know where to look. Now, we can see the complete view of every customer. We can analyze customer information at the individual customer level and aggregtate level to make better decisions and more efficently help our customers hit their goals. We've been able to train new CSMs faster since we have fewer tools to learn, and anyone in our organization can learn about our customers easily. We are able to focus more on process improvement and experiment more with better data and a more comprehensive view of our customers and segments. Planhat's entire team has been so supportive along the way and true thought partners! Review collected by and hosted on G2.com.","We have been thrilled with every aspect of Planhat, and their team is responsive to anything that might pop up. As with all software, you're going to get out of it what you put in, so really take the time and put in the effort during onboarding to get it right. Some of the more technical aspects of the tool require you to learn some more technical functionality, but their support and Technical Account Managers can help you out with that, and once you learn it, it makes sense. Review collected by and hosted on G2.com.","As we grew CS at our organization, we were rolling in more and more tools to accomplish certain things. Planhat has helped us bring everything together, eliminate several other tools, and given us insight into the full Customer view. Everything CSMs, managers, and leadership need to know about a customer is now in one place! Getting the rigth CS tech stack in place now enables our CS organization to usher in a new, more scalable era with better outcomes for our customers and our teams! Review collected by and hosted on G2.com."
Jamie M.,Operations Analyst,Mid-Market,51-1000 emp.,04-Nov-22,"""Beautiful UI, amazing support from our Planhat team""","Our implementation team was the best! We had a super short timeline due to transitioning off of our previous CRM tool, and our Planhat CSM and TAM were incredibly supportive throughout the entire process, going above and beyond to provide world class service. They were available to answer our many questions and assist along every step of the way, and their expertise was invaluable as we determined not only the technical implementation work but also how best to display our data, providing real world examples of best practices. We have enjoyed being able to customize different customer profile tabs to show helpful information and graphs at a glance, and setting up these pages was very intuitive. Review collected by and hosted on G2.com.","Our main issue has been trying to get the data from our platform into Planhat manually until our internal team finalizes the API connection to pass data automatically. This has led to difficulties in trying to ""clear out"" data that has been parsed incorrectly manually prior to upload to Planhat, since there's no way to delete a single upload, which we had the ability to do with our previous CRM. This is obviously a user error issue on our end internally, but it would still be helpful to have a way to ""correct"" data uploads that need to be corrected and reuploaded without having to delete all of our historical data in the process. Review collected by and hosted on G2.com.","The unlimited user model is super helpful, since I don't have to play user tetris anymore to figure out who *really* needs access versus who doesn't. It also is super simple to set up compared with other CRMs as far as how to display data in an easily digestible way. Review collected by and hosted on G2.com."
Unknown,Unknown,Small-Business,50 or fewer emp.,01-Nov-22,"""Planhat gives us a lot of customer insights that helps us out bring more success to our customers""","The customer insights that we gain from Planhat. Alongside these insights, we can create activities and notifications for our team to follow up on the insights and create more value for our customers. We don't longer depend on our gut feeling but now also trust the data from Planhat! Review collected by and hosted on G2.com.","The main thing I dislike about Planhat is that a new user must have a certain data level. Creating CI dashboards for example took me a lot of time to get used to it. You must be really tech savey to understand all the features of Planhat. Luckily I have a lot of colleagues who helped me out and of course, the customer success manager of Planhat helped me a lot! Review collected by and hosted on G2.com.",The problem that we used to make a lot of decisions based on gut feeling and not based on data and customer insights. Nowadays we can aim a lot better at customers who are not healthy as we want to be. We work more specific and targeted. Review collected by and hosted on G2.com.
Kiara E.,Senior Customer Success Manager,Small-Business,50 or fewer emp.,12-Mar-23,"""Helping us organize our data and streamline/automate our processes!""","All data in one place! The flexibility of Planhat allows us to organize and leverage all our data in new ways to improve insight and awareness of our customers, as well as automate processes, or at the very least make them faster and more efficient! Review collected by and hosted on G2.com.","We have a unique business model where we work very closely within individual departments at our customers for key components. For this we leverage assets, but there is some workaround required in order to automate processes based on the asset level detail (currently a lot of the functionality is centered around just company data). Would be helpful to run playbooks, etc. based on assets too! Review collected by and hosted on G2.com.","Centralization of data and automation of processes - meaning we are better equipped to be proactive vs. reactive, and have increased capacity per CSM to manage accounts. Review collected by and hosted on G2.com."
Reese Q.,Operations Manager,Small-Business,50 or fewer emp.,09-Nov-22,"""Excellent Platform for CS Teams""",Our team really enjoys the playbook features in Planhat - we've been able to quickly iterate and implement them to provide leadership with a good picture of our processes and progress. Review collected by and hosted on G2.com.,"The platform is really robust (which we love) but can often result in some features being less intuitive. However, the team is happy to provide quick fixes and support with anything we're looking to do. It's clear they have a deep understanding of the platform. Review collected by and hosted on G2.com.",Planhat is helping us create and implement playbooks to make sure that our processes are standardized. Having this visibility is helping our team give feedback around expectations as we've never had before! Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,26-Oct-22,"""Fantastic product and services. A great company to work with!""","Being a customer success-focused product, Planhat's own CS team has provided a lot of value with transparent exchanges and advice on how we use their solution. The product offers ease of visibility into customer information via its unique but easy-to-understand approach to data filtering. It also allows our team to be proactive with its intuitive and customizable health scoring system. The integration with our existing CRM has also been a highlight - it's completely out of the box and seamless, making it very easy for us. Review collected by and hosted on G2.com.","We've had some minor frustrations with email formatting, which could be improved, but no major dislikes since the solution has allowed us to deliver our target use cases. Review collected by and hosted on G2.com.","Proactivity around customer health monitoring is a huge benefit that we have been able to achieve. Our CSMs are now notified when concerning events occur and can address them much quicker, resulting in less likelihood of account churn. We have also benefited from the NPS survey tool, which has streamlined our ability to collect and report on customer feedback. Review collected by and hosted on G2.com."
Anne Z.,Customer Success Manager,Small-Business,50 or fewer emp.,02-Nov-22,"""Amazing Tool, Amazing Team""",Planhat has significantly improved my workflow and streamlined my tasks allowing me to spend more time on meaningful touchpoints with my clients. The onboarding process was incredibly thorough and easy to follow. The Planhat team has been fantastic to work with throughout this process! Review collected by and hosted on G2.com.,"There isn't a thing that I have found that I dislike about Planhat. The tool is very intuitive, and any questions have been answered by the Planhat team immediately. Review collected by and hosted on G2.com.","The Planhat tool has allowed our team to streamline processes, communicate more effectively with clients, and create more efficient workflows. I spend less time on menial tasks and more time building relationships with my clients. Review collected by and hosted on G2.com."
Maggie L.,Customer Success Manager,Small-Business,50 or fewer emp.,03-Nov-22,"""Great CS Tool""","Planhat is an incredible tool to organize your customer list and amalgamate your data. Having all of our conversation data, revenue data and app activity data in one place is a game changer Review collected by and hosted on G2.com.",Our team is still working to uncover everything that Planhat can unlock for us. It can be a little overwhelming entering the platform and trying to navigate some of the more complex features like automations/intelligence but I am confident we will get there Review collected by and hosted on G2.com.,"Planhat helps us to no longer have silo'd data. As well, just general account information storage and customer notes/ pulse checks/activity updates
"
Unknown,Unknown,Mid-Market,51-1000 emp.,20-Oct-22,"""Great tool to elevate our CSM efforts to the next level""","All the relevant data is in one place. This facilitates the team to manage the customers and use insights to bring our customers to the next level. It's helpful to build different filters to quickly get the information you need. In addition, automation processes with playbooks helped to set up cross-team processes and increase transparency. Customer Portals are an excellent way to involve customers more in the onboarding phase, share tasks and keep track to reduce time-to-value. Review collected by and hosted on G2.com.",It would be great if we could push information from Slack to Planhat and to have folders in the Customer Portals to be able to structure it more. Review collected by and hosted on G2.com.,"Planhat helps us to have important information on e,g, customer health&happiness, revenue, contract data, and communication in one place. In addition, we can easily compare clients and e.g. find out where to focus our efforts. Automation is great for establishing transparent processes and ensuring everyone knows what tasks are involved. Review collected by and hosted on G2.com."
Mila A.,Customer Success Manager,Mid-Market,51-1000 emp.,19-Oct-22,"""Planhat is amazing!""","Planhat is a super facilitator of routines and management.  Its features help Belvo's Customer Success team monitor the customer on a daily basis, create automated playbooks that help us with standardized tasks, perform simple and in-depth analysis, generate insights into the portfolio, and so on. Using the planhat in its entirety, we have an omnichannel view of the customer and are able to act quickly. Planhat also has many integrations with other platforms, which makes us share data with other teams in an organized and systematic way, avoiding rework or losing data. Today, we see the planhat as an indispensable system for our business.  Another very important point is the assistance we get from the support team and our CSM - Simon. Always willing to help and seek solutions that solve our needs. Review collected by and hosted on G2.com.","We sometimes miss the practicalities of some business rules. Until today, we have always had a tool solution to meet the designed process, but at times we need to look for the support team and think of a specific and creative project to use the tools in our favor.
","Customer management, scalability of after-sales processes, NPS Review collected by and hosted on G2.com."
